seed	531802985935182545
construction_seconds	186.433266
path	nodes	max_cut	max_fill	max_step	pins	pin_digest	water_bounds	water_digest
poi_spur_046	267	3	1	1	2	285077315a001cde31301ddee1ce0af21d7f47db33a276f505b0e00bc7a8bbd3	0	49e8e3297545c15ab6a79471a7a34d43e24a8f1cb25ea3d8417c61f699267a3f
poi_spur_047	151	1	0	1	2	fb46d6cd70e3d70533cca2992afe667e48263cd334cfbac2d5361a576b54100e	0	49e8e3297545c15ab6a79471a7a34d43e24a8f1cb25ea3d8417c61f699267a3f
poi_spur_048	151	2	0	1	2	9e839c80a98a66cca0f8b8dd3cd378719e1ed365187561972f9e5db165337619	0	49e8e3297545c15ab6a79471a7a34d43e24a8f1cb25ea3d8417c61f699267a3f
poi_spur_049	233	2	0	1	2	65cfa81e043d0bcc0a7f0a3662e88702b421059576bd2b9f475041fc6463b92f	0	49e8e3297545c15ab6a79471a7a34d43e24a8f1cb25ea3d8417c61f699267a3f
poi_spur_050	300	2	51	1	2	917be9d2f23aa8c145317990ad05b065dce743a77eb61d61cfe946c093e26812	0	49e8e3297545c15ab6a79471a7a34d43e24a8f1cb25ea3d8417c61f699267a3f
poi_spur_051	331	4	10	1	2	2dab2eea30af43c7f30dca06e91a3885874fce133e5ac8e663921b96f051f5ce	47	228afd5ea7d1e5fa3b5450bbe5935619b34721fa43fa501953748be7776d9f61
poi_spur_052	295	1	0	1	2	20c6c01682168957cbfca6fdef25ed9fcaf3925664cce3d6865337388b6c872c	0	49e8e3297545c15ab6a79471a7a34d43e24a8f1cb25ea3d8417c61f699267a3f
poi_spur_053	169	9	26	1	2	c663448f9efe9a04297a0101c3295aeb3620a025e62275e656184ad62d4ba7c7	0	49e8e3297545c15ab6a79471a7a34d43e24a8f1cb25ea3d8417c61f699267a3f
poi_spur_054	295	1	1	1	2	8f252bca79c6652a4669c2bcea2ed18dfef7acc3b2dcbee1990e7e155dc30b54	0	49e8e3297545c15ab6a79471a7a34d43e24a8f1cb25ea3d8417c61f699267a3f
poi_spur_055	201	1	0	1	2	1c6d6bf24a2565fc7e24aef6a9b618db4eb8b27373cd3154e13e90e943933eb1	0	49e8e3297545c15ab6a79471a7a34d43e24a8f1cb25ea3d8417c61f699267a3f
poi_spur_056	271	2	1	1	2	e7d2f44551915e7ca0bf99a468d97553cf3046da299c84881e5390b48f6383d8	0	49e8e3297545c15ab6a79471a7a34d43e24a8f1cb25ea3d8417c61f699267a3f
poi_spur_057	321	2	1	1	2	739cbe3803fd3390a1bbd3216f16d34899ff0286237180e0fabc521adfaa328f	0	49e8e3297545c15ab6a79471a7a34d43e24a8f1cb25ea3d8417c61f699267a3f
