kind	seed	lot	reference	skirt_face	best_side	best_step	walkable_sides
kezamba_walk	12345	shore_6	42	0	-1,0	0	4
kezamba_walk	12345	shore_7	39	0	-1,0	1	4
kezamba_walk	12345	shore_8	44	1	0,-1	1	4
kezamba_walk	12345	shore_9	39	1	1,0	1	4
kezamba_walk	12345	shore_f1	36	0	0,-1	1	4
kezamba_walk	12345	shore_f2	33	0	0,-1	1	4
kezamba_walk	12345	shore_f3	45	0	-1,0	0	4
kezamba_walk	12345	shore_f4	39	0	0,-1	0	4
kezamba_walk	12345	vine_1	36	0	0,1	0	4
kezamba_walk	12345	vine_2	39	0	0,-1	0	4
kezamba_walk	12345	vine_3	36	0	0,-1	0	4
kezamba_walk	12345	vine_4	42	0	0,-1	0	4
kezamba_walk	12345	vine_5	36	0	0,-1	1	4
kezamba_walk	12345	vine_6	42	0	0,-1	1	4
kezamba_walk	12345	vine_7	45	0	-1,0	1	4
kezamba_walk	12345	vine_8	39	0	0,-1	1	4
kezamba_walk	12345	vine_9	41	1	0,1	0	4
kezamba_walk	12345	vine_f1	42	0	1,0	0	4
kezamba_walk	12345	vine_f2	42	0	-1,0	0	4
kezamba_walk	12345	vine_f3	33	0	-1,0	1	4
kezamba_walk	12345	vine_f4	39	0	0,1	0	4
kezamba_walk	12345	canopy_1	41	0	-1,0	1	4
kezamba_walk	12345	canopy_2	42	0	0,-1	1	4
kezamba_walk	12345	canopy_3	45	0	0,-1	1	4
kezamba_walk	12345	canopy_4	39	0	0,1	0	4
kezamba_walk	12345	canopy_5	42	0	1,0	0	4
kezamba_walk	12345	canopy_6	48	0	0,-1	0	4
kezamba_walk	12345	canopy_7	46	1	1,0	0	4
kezamba_walk	12345	canopy_8	40	0	0,-1	1	4
kezamba_walk	12345	canopy_9	42	0	-1,0	1	4
kezamba_walk	12345	canopy_10	39	0	0,-1	0	4
kezamba_walk	12345	canopy_11	40	2	0,-1	0	4
kezamba_walk	12345	canopy_f1	42	0	-1,0	0	4
kezamba_walk	12345	canopy_f2	48	0	0,1	0	4
kezamba_walk	12345	canopy_f3	45	0	-1,0	1	4
kezamba_walk	12345	canopy_f4	43	0	1,0	1	4
kezamba_walk	12345	totem_1	33	0	-1,0	0	4
kezamba_walk	12345	totem_2	33	2	0,1	1	4
kezamba_walk	12345	totem_3	33	0	1,0	0	4
kezamba_walk	12345	totem_4	33	0	0,1	1	4
kezamba_walk	12345	totem_5	33	1	-1,0	1	4
kezamba_walk	12345	totem_6	30	1	0,1	1	4
kezamba_walk	12345	totem_7	39	0	0,-1	0	4
kezamba_walk	12345	totem_f1	30	0	1,0	0	4
kezamba_walk	12345	totem_f2	30	0	0,1	1	4
kezamba_walk	12345	totem_f3	30	0	0,-1	0	4
kezamba_walk	12345	totem_f4	33	0	0,1	0	3
kezamba_core_edge	12345	48,0	66	water	-	-	-
kezamba_core_edge	12345	-48,0	66	0	-	-	-
kezamba_core_edge	12345	0,48	66	water	-	-	-
kezamba_core_edge	12345	0,-48	66	0	-	-	-
kezamba_walk	999999999	shore_1	30	0	0,1	0	4
kezamba_walk	999999999	shore_2	24	2	-1,0	1	4
kezamba_walk	999999999	shore_3	30	0	-1,0	0	4
kezamba_walk	999999999	shore_4	30	0	0,1	0	4
kezamba_walk	999999999	shore_5	24	0	-1,0	0	4
kezamba_walk	999999999	shore_6	27	0	0,-1	1	4
kezamba_walk	999999999	shore_7	36	1	1,0	1	4
kezamba_walk	999999999	shore_8	33	0	0,-1	1	4
kezamba_walk	999999999	shore_9	27	0	0,-1	0	4
kezamba_walk	999999999	shore_f1	26	1	0,-1	1	4
kezamba_walk	999999999	shore_f2	30	0	1,0	0	4
kezamba_walk	999999999	shore_f3	33	0	-1,0	0	4
kezamba_walk	999999999	shore_f4	30	0	0,-1	0	4
kezamba_walk	999999999	vine_1	34	1	0,-1	0	4
kezamba_walk	999999999	vine_2	34	0	-1,0	1	4
kezamba_walk	999999999	vine_3	36	0	0,-1	0	4
