capital	run	columns	spread	step	lane_step	junctions	overlaps	junc_spread	junc_step	raised	raise_max	walled	solid	pillars	wet	piers	rails	lamps	lamps_off	queries
lethariel	ring_south	193	0	1	1	0	0	0	0	68	1	0	0	0	0	0	0	50	0	5250
lethariel	ring_north	193	0	1	1	0	0	0	0	827	5	26	0	26	611	34	230	50	0	4195
lethariel	lane_southeast_spine	191	0	1	1	0	0	0	0	302	2	0	0	0	0	0	0	48	0	3528
lethariel	lane_southeast_cross	191	0	1	1	0	0	0	0	58	2	0	0	0	0	0	0	48	0	3943
lethariel	lane_northeast_shore	233	0	1	1	0	0	0	0	903	8	119	0	119	445	40	266	60	0	2316
lethariel	lane_northwest_spine	191	0	1	1	0	0	0	0	157	2	0	0	0	0	0	0	48	0	3943
lethariel	lane_northwest_cross	191	0	1	1	0	0	0	0	599	5	30	0	30	128	8	60	48	0	3588
lethariel	lane_southwest_spine	191	0	1	1	0	0	0	0	136	2	0	0	0	0	0	0	48	0	3943
lethariel	lane_southwest_cross	191	0	1	1	0	0	0	0	59	2	0	0	0	0	0	0	48	0	3943
kezamba	avenue_south	209	0	1	1	0	0	0	0	456	17	331	0	331	0	16	118	54	0	2042
kezamba	avenue_north	209	0	1	1	0	0	0	0	838	21	311	0	311	467	40	276	54	0	2200
kezamba	avenue_west	209	0	1	1	0	0	0	0	278	14	134	0	134	0	4	50	54	0	1974
kezamba	avenue_east	209	0	1	1	0	0	0	0	772	21	170	0	170	499	36	250	54	0	2174
kezamba	ring_west	193	0	1	1	0	0	0	0	264	3	9	0	9	0	2	16	50	0	2686
kezamba	ring_east	193	0	1	1	0	0	0	0	751	19	137	0	137	530	36	232	50	0	2902
kezamba	ring_south	193	0	1	1	0	0	0	0	68	2	0	0	0	0	0	0	50	0	2670
kezamba	ring_north	193	0	1	1	0	0	0	0	831	17	153	0	153	640	40	278	50	0	2948
nhal_veyr	avenue_south	214	0	1	1	0	0	0	0	389	3	1	0	1	0	0	2	54	0	2781
nhal_veyr	avenue_north	214	0	1	1	0	0	0	0	150	6	20	5	15	0	0	8	54	0	2787
nhal_veyr	avenue_west	214	0	1	1	0	0	0	0	247	3	1	0	1	0	0	2	54	0	2781
nhal_veyr	avenue_east	214	0	1	1	0	0	0	0	205	3	4	0	4	0	2	6	54	0	2785
nhal_veyr	ring_west	193	0	1	1	0	0	0	0	97	2	0	0	0	0	0	0	50	0	2670
nhal_veyr	ring_east	193	0	1	1	0	0	0	0	313	2	0	0	0	0	0	0	50	0	2670
nhal_veyr	ring_south	193	0	1	1	0	0	0	0	77	2	0	0	0	0	0	0	50	0	2670
nhal_veyr	ring_north	193	0	1	1	0	0	0	0	163	2	0	0	0	0	0	0	50	0	2670
nhal_veyr	lane_southeast_spine	187	0	1	1	0	0	0	0	17	1	0	0	0	0	0	0	48	0	2648
nhal_veyr	lane_southeast_cross	187	0	1	1	0	0	0	0	201	2	0	0	0	0	0	0	48	0	2648
nhal_veyr	lane_northeast_spine	187	0	1	1	0	0	0	0	274	2	0	0	0	0	0	0	48	0	2648
nhal_veyr	lane_northeast_cross	187	0	1	1	0	0	0	0	38	2	0	0	0	0	0	0	48	0	2648
nhal_veyr	lane_northwest_spine	187	0	1	1	0	0	0	0	156	2	0	0	0	0	0	0	48	0	2648
nhal_veyr	lane_northwest_cross	187	0	1	1	0	0	0	0	294	3	1	0	1	0	2	0	48	0	2648
nhal_veyr	lane_southwest_spine	187	0	1	1	0	0	0	0	204	3	4	0	4	0	0	8	48	0	2656
nhal_veyr	lane_southwest_cross	187	0	1	1	0	0	0	0	282	2	0	0	0	0	0	0	48	0	2648
